Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
2.01505E+11,4,sign - erect,05/06/2015,326,23,140,,Ellis,St,,,"ground fl facade: to erect illuminated, electric, wall, single faced sign. n/a for maher ordinance 155-13.",expired,12/21/2017,05/06/2015,11/09/2015,,11/09/2015,,6,,,,11/03/2016,4000,4000,tourist hotel/motel,143,,,2,,3,constr type 3,,,,3,Tenderloin,94102,"(37.785719256680785, -122.40852313194863)",1.38061E+12
2.01604E+11,4,sign - erect,04/19/2016,306,7,440,,Geary,St,0,,remove (e) awning and associated signs.,issued,08/03/2017,04/19/2016,08/03/2017,,08/03/2017,,7,,,,12/03/2017,1,500,tourist hotel/motel,,,,2,,3,constr type 3,,,,3,Tenderloin,94102,"(37.78733980600732, -122.41063199757738)",1.42016E+12
2.01605E+11,3,additions alterations or repairs,05/27/2016,595,203,1647,,Pacific,Av,,,installation of separating wall,withdrawn,09/26/2017,05/27/2016,,,,,6,6,,,,20000,,retail sales,39,retail sales,39,2,,1,constr type 1,1,constr type 1,,3,Russian Hill,94109,"(37.7946573324287, -122.42232562979227)",1.42486E+12
2.01611E+11,8,otc alterations permit,11/07/2016,156,11,1230,,Pacific,Av,0,,repair dryrot & stucco at front of bldg.,complete,07/24/2017,11/07/2016,07/18/2017,07/24/2017,07/18/2017,,2,2,,,07/13/2018,2000,2000,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79595867909168, -122.41557405519474)",1.44357E+12
2.01611E+11,6,demolitions,11/28/2016,342,1,950,,Market,St,,,demolish retail/office/commercial 3-story building,issued,12/01/2017,11/28/2016,12/01/2017,,11/20/2017,,3,,,,12/01/2018,100000,100000,retail sales,,,,2,,3,constr type 3,,,,6,Tenderloin,94102,"(37.78315261897309, -122.40950883997789)",1.44548E+11
2.01706E+11,8,otc alterations permit,06/14/2017,4105,9,800,,Indiana,St,,,evac maps,issued,07/06/2017,06/14/2017,07/06/2017,,07/06/2017,,5,5,,Y,07/01/2018,4000,4000,apartments,326,apartments,326,2,,1,constr type 1,1,constr type 1,,10,Potrero Hill,94107,"(37.75922331346539, -122.39170402628598)",1.46691E+12
2.01706E+11,8,otc alterations permit,06/30/2017,1739,20,1291,,11th,Av,0,,re-roofing,complete,07/12/2017,06/30/2017,06/30/2017,07/12/2017,06/30/2017,,3,3,,,06/25/2018,12000,12000,apartments,5,apartments,5,0,,5,wood frame (5),5,wood frame (5),,5,Inner Sunset,94122,"(37.764145640138565, -122.46875112470363)",1.46897E+12
M803667,8,otc alterations permit,06/30/2017,4789,14,1465,,Revere,Av,,,streetspace,issued,06/30/2017,06/30/2017,06/30/2017,,06/30/2017,,,,,,,,0,,,,,,,,,,,,10,Bayview Hunters Point,94124,"(37.73005099023611, -122.38784938916618)",1.46904E+12
M804227,8,otc alterations permit,07/05/2017,1212,54,2094,,Fell,St,,,street space permit,issued,07/05/2017,07/05/2017,07/05/2017,,07/05/2017,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.772393498502595, -122.45231466824669)",1.4692E+12
M804767,8,otc alterations permit,07/06/2017,1259,16,89,,Alpine,Tr,,,street space,issued,07/06/2017,07/06/2017,07/06/2017,,07/06/2017,,,,,,,,0,,,,,,,,,,,,8,Haight Ashbury,94117,"(37.7691724293766, -122.43734859051908)",1.46932E+11
M805287,8,otc alterations permit,07/06/2017,3541,1,106,,Sanchez,St,,,street space,issued,07/06/2017,07/06/2017,07/06/2017,,07/06/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.767349757757145, -122.43140682973024)",1.46945E+12
M805907,8,otc alterations permit,07/07/2017,829,21,675,,Fell,St,,,street space,issued,07/07/2017,07/07/2017,07/07/2017,,07/07/2017,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94102,"(37.774914087334544, -122.42886839796792)",1.46962E+11
M806447,8,otc alterations permit,07/10/2017,6537,23,4082,,25th,St,,,street space,issued,07/10/2017,07/10/2017,07/10/2017,,07/10/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75006779619502, -122.43127350268124)",1.46978E+12
2.01707E+11,8,otc alterations permit,07/25/2017,6589,002R,681,,27th,St,,,remove and replace landscape wall,filed,07/25/2017,07/25/2017,,,,,2,2,,,,30000,0,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,8,Noe Valley,94131,"(37.7462205625642, -122.4353484860549)",1.4718E+12
M813729,8,otc alterations permit,07/26/2017,1049,27,2761,,Pine,St,,,street space,issued,07/26/2017,07/26/2017,07/26/2017,,07/26/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78676200041077, -122.44124093333335)",1.47204E+11
M813907,8,otc alterations permit,07/27/2017,243,43,840,,Powell,St,301,,street space,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1,,,,,,,,,,,,3,Chinatown,94108,"(37.7926690651263, -122.40883941791454)",1.47209E+11
M813967,8,otc alterations permit,07/27/2017,268,8,220,,Montgomery,St,,,street space permit,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1,,,,,,,,,,,,3,Financial District/South Beach,94104,"(37.79130641988351, -122.40198579459195)",1.47212E+11
M814148,8,otc alterations permit,07/27/2017,3621,97,3707,,21st,St,0,,street space & sidewalk repair,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75607840165479, -122.43041143390109)",1.47218E+12
2.01707E+11,8,otc alterations permit,07/28/2017,472,42,1307,,Bay,St,1,,soft story ordinance sf building code chptr 34b and fema p807,filed,07/28/2017,07/28/2017,,,,,4,4,,,,75000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,2,Marina,94123,"(37.8035183252307, -122.42863180996076)",1.47228E+12
M814368,8,otc alterations permit,07/28/2017,2659,1,263,,Corbett,Av,0,,street space,issued,07/28/2017,07/28/2017,07/28/2017,,07/28/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.761092365437214, -122.44402154957145)",1.4723E+12
M814967,8,otc alterations permit,07/31/2017,1176,68,1624,,Fulton,St,,,street space,issued,07/31/2017,07/31/2017,07/31/2017,,07/31/2017,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.77640228859421, -122.44361679686382)",1.47262E+12
2.01708E+11,8,otc alterations permit,08/01/2017,6529,10,3410,,26th,St,,,repair fire damage to comply with nov #201551241.,filed,08/01/2017,08/01/2017,,,,,2,2,,,,100000,0,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,9,Mission,94110,"(37.74914175355125, -122.41849211166853)",1.47273E+12
2.01708E+11,3,additions alterations or repairs,08/01/2017,74,43,2150,,Taylor,St,,,"soft story retrofit per sfebc chapter 4d, asce 41-06.",filed,08/01/2017,08/01/2017,,,,,3,3,,,,100000,,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,3,Russian Hill,94133,"(37.802405951667645, -122.41446286561653)",1.47281E+11
M816927,8,otc alterations permit,08/07/2017,941,12,2824,,Filbert,St,,,street space,issued,08/07/2017,08/07/2017,08/07/2017,,08/07/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79697456740493, -122.44615769723546)",1.47359E+11
2.01708E+11,8,otc alterations permit,08/08/2017,542,39,1,,Charlton,Ct,,,re-roofing,issued,08/08/2017,08/08/2017,08/08/2017,,08/08/2017,,4,4,,,08/08/2018,64650,64650,apartments,9,apartments,9,0,,5,wood frame (5),5,wood frame (5),,2,Marina,94123,"(37.79739093461306, -122.43127133823367)",1.4738E+12
2.01708E+11,8,otc alterations permit,08/16/2017,1824,6,1435,,29th,Av,,,re-roofing,issued,08/16/2017,08/16/2017,08/16/2017,,08/16/2017,,2,2,,,02/16/2018,7000,7000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,4,Sunset/Parkside,94122,"(37.76052279949518, -122.4879889739165)",1.47484E+12
M820728,8,otc alterations permit,08/18/2017,1449,6,331,,17th,Av,,,street space,issued,08/18/2017,08/18/2017,08/18/2017,,08/18/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.78177022745135, -122.47658979438802)",1.47522E+12
M821207,8,otc alterations permit,08/21/2017,1193,24,120,,Shrader,St,,,street space & sidewalk repair,issued,08/21/2017,08/21/2017,08/21/2017,,08/21/2017,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.77371007080848, -122.45243180846707)",1.47538E+11
M821268,8,otc alterations permit,08/21/2017,1851,12,1512,,06th,Av,,,street space,issued,08/21/2017,08/21/2017,08/21/2017,,08/21/2017,,,,,,,,1,,,,,,,,,,,,7,Inner Sunset,94122,"(37.760252335082875, -122.4625393396095)",1.47541E+12
M821847,8,otc alterations permit,08/22/2017,326,1,165,,Powell,St,,,street space,issued,08/22/2017,08/22/2017,08/22/2017,,08/22/2017,,,,,,,,1,,,,,,,,,,,,3,Tenderloin,94102,"(37.78625524960107, -122.40834431815433)",1.47561E+12
M822307,8,otc alterations permit,08/23/2017,182,4,1441,,Taylor,St,0,,street space,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94133,"(37.79566333315149, -122.41363462406336)",1.47576E+12
M822487,8,otc alterations permit,08/23/2017,3580,17,3830,,18th,St,0,,street space permit,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.761512899115466, -122.42911964946909)",1.4758E+12
M822707,8,otc alterations permit,08/23/2017,3610,41,563,,Capp,St,,,street space,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,0,,,,,,,,,,,,9,Mission,94110,"(37.75771026684177, -122.4175528755785)",1.47584E+12
2.01708E+11,3,additions alterations or repairs,08/24/2017,3749,47,76,,Lansing,St,,,"mandatory soft-story compliance per sfebc ch.4d, criteria fema p807 & asce 41-13.",approved,12/14/2017,08/24/2017,,,,,3,3,,,,73000,73000,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,6,Financial District/South Beach,94105,"(37.78595425737664, -122.39444130117158)",1.47603E+12
M823847,8,otc alterations permit,08/25/2017,3545,018A,1810,,15th,St,,,street space,issued,08/25/2017,08/25/2017,08/25/2017,,08/25/2017,,,,,,,,1,,,,,,,,,,,,8,Mission,94103,"(37.766508011617525, -122.42470825254468)",1.47623E+12
M824007,8,otc alterations permit,08/25/2017,749,006A,1445,,Eddy,St,,,street space,issued,08/25/2017,08/25/2017,08/25/2017,,08/25/2017,,,,,,,,1,,,,,,,,,,,,5,Western Addition,94115,"(37.7813061748427, -122.43142154292566)",1.47627E+11
M824127,8,otc alterations permit,08/28/2017,6551,23,1383,,Church,St,,,street space,issued,08/28/2017,08/28/2017,08/28/2017,,08/28/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.748779856735744, -122.42683572581998)",1.47636E+12
M824927,8,otc alterations permit,08/29/2017,6597,24,681,,San Jose,Av,,,street space,issued,08/29/2017,08/29/2017,08/29/2017,,08/29/2017,,,,,,,,1,,,,,,,,,,,,8,Bernal Heights,94110,"(37.74446179156465, -122.42217241874201)",1.47671E+12
M825267,8,otc alterations permit,08/29/2017,1572,17,606,,30th,Av,,,street space,issued,08/29/2017,08/29/2017,08/29/2017,,08/29/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77767213358907, -122.48966493609916)",1.47672E+12
M828787,8,otc alterations permit,09/07/2017,177,22,655,,Pacific,Av,0,,street space,issued,09/07/2017,09/07/2017,09/07/2017,,09/07/2017,,,,,,,,0,,,,,,,,,,,,3,Chinatown,94133,"(37.79673343870443, -122.40610115140781)",1.47787E+12
M829567,8,otc alterations permit,09/08/2017,490,2,3325,,Steiner,St,,,street space,issued,09/08/2017,09/08/2017,09/08/2017,,09/08/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.80002156448977, -122.43806594677513)",1.47814E+11
M832207,8,otc alterations permit,09/15/2017,1609,021F,700,,36th,Av,,,street space,issued,09/15/2017,09/15/2017,09/15/2017,,09/15/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77554028396788, -122.49601102992328)",1.47953E+12
2.01709E+11,8,otc alterations permit,09/15/2017,1429,10,249,,04th,Av,,,soft story retrofit per sfebc chapter 4d: 2016 cebc appendix a-4,filed,09/15/2017,09/15/2017,,,,,3,3,,,,18000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,1,Inner Richmond,94118,"(37.7839252036892, -122.46267353170244)",1.47974E+12
M833229,8,otc alterations permit,09/19/2017,605,28,2379,,Jackson,St,1,,street space,issued,09/19/2017,09/19/2017,09/19/2017,,09/19/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.792266300903314, -122.4340191358936)",1.48016E+12
M834107,8,otc alterations permit,09/21/2017,7151,14,247,,Saint Charles,Av,0,,street space,issued,09/21/2017,09/21/2017,09/21/2017,,09/21/2017,,,,,,,,1,,,,,,,,,,,,7,Oceanview/Merced/Ingleside,94132,"(37.70944796125683, -122.4690186732598)",1.48058E+12
M836287,8,otc alterations permit,09/27/2017,540,2,2843,,Webster,St,,,street space,issued,09/27/2017,09/27/2017,09/27/2017,,09/27/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79686934709798, -122.43412132328224)",1.48122E+12
M836847,8,otc alterations permit,09/28/2017,959,29,2615,,Divisadero,St,,,street space,issued,09/28/2017,09/28/2017,09/28/2017,,09/28/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94123,"(37.79391508281414, -122.44195481827035)",1.48143E+12
M839427,8,otc alterations permit,10/04/2017,6780,34,252,,Cotter,St,,,street space,issued,10/04/2017,10/04/2017,10/04/2017,,10/04/2017,,,,,,,,1,,,,,,,,,,,,11,Outer Mission,94112,"(37.729885737657085, -122.43669590253097)",1.4822E+12
2.0171E+11,8,otc alterations permit,10/11/2017,5934,20,938,,Felton,St,,,reroofing,complete,10/31/2017,10/11/2017,10/11/2017,10/31/2017,10/11/2017,,2,2,,,04/11/2018,14000,14000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,9,Portola,94134,"(37.72775517946509, -122.41419227409298)",1.48293E+12
M842668,8,otc alterations permit,10/11/2017,1558,9,535,,15th,Av,,,street space pmerit,issued,10/11/2017,10/11/2017,10/11/2017,,10/11/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94118,"(37.777944902487455, -122.47412411653805)",1.48295E+12
M842987,8,otc alterations permit,10/11/2017,797,22,896,,Fillmore,St,,,street space,issued,10/11/2017,10/11/2017,10/11/2017,,10/11/2017,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94117,"(37.777501464434096, -122.4313176580435)",1.48302E+11
M843007,8,otc alterations permit,10/12/2017,1095,5,2425,,Geary,Bl,,,street space,issued,10/12/2017,10/12/2017,10/12/2017,,10/12/2017,,,,,,,,1,,,,,,,,,,,,2,Lone Mountain/USF,94115,"(37.78231492051284, -122.44311204170013)",1.48305E+11
M843807,8,otc alterations permit,10/13/2017,24,011C,2718,,Hyde,St,,,street space for pa201709279745,reinstated,10/20/2017,10/13/2017,10/13/2017,,10/13/2017,,,,,,,,1,,,,,,,,,,,,2,Russian Hill,94109,"(37.806017225478456, -122.42015526260425)",1.48331E+12
M845227,8,otc alterations permit,10/17/2017,1431,28,264,,03rd,Av,,,street space & sidewalk repair,issued,10/17/2017,10/17/2017,10/17/2017,,10/17/2017,,,,,,,,1,,,,,,,,,,,,1,Inner Richmond,94118,"(37.78372760851531, -122.46092340202318)",1.48365E+11
M845327,8,otc alterations permit,10/17/2017,299,19,861,,Sutter,St,,,street space,issued,10/17/2017,10/17/2017,10/17/2017,,10/17/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.788197996005636, -122.41442324510548)",1.48368E+11
2.0171E+11,7,wall or painted sign,10/24/2017,8702,611,274,,King,St,,,re-face (1) existing projecting sign. maher na,filed,10/24/2017,10/24/2017,,,,,,,,,,1000,,,,,,2,,,,,,,6,Mission Bay,94107,"(37.777642220223974, -122.39341813656613)",1.48448E+12
M849547,8,otc alterations permit,10/30/2017,6165,13,66,,Mill,St,,,street space,issued,10/30/2017,10/30/2017,10/30/2017,,10/30/2017,,,,,,,,1,,,,,,,,,,,,10,Visitacion Valley,94134,"(37.71876662168294, -122.40622225145289)",1.48532E+12
M851827,8,otc alterations permit,11/03/2017,2038A,26,1730,,12th,Av,,,street space,issued,11/03/2017,11/03/2017,11/03/2017,,11/03/2017,,,,,,,,1,,,,,,,,,,,,7,Inner Sunset,94122,"(37.7558354230817, -122.46863203513271)",1.48595E+12
M853107,8,otc alterations permit,11/07/2017,3763,22,483,,03rd,St,,,street space and mta permits,issued,11/07/2017,11/07/2017,11/07/2017,,11/07/2017,,,,,,,,1,,,,,,,,,,,,6,Financial District/South Beach,94107,"(37.78174763474234, -122.39596460976995)",1.4863E+12
M853247,8,otc alterations permit,11/07/2017,640,29,1809,,Gough,St,201,,street space permit,issued,11/07/2017,11/07/2017,11/07/2017,,11/07/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94109,"(37.790448830284234, -122.42601228372914)",1.48636E+11
M854087,8,otc alterations permit,11/09/2017,991,49,3953,,Washington,St,,,street space,issued,11/09/2017,11/09/2017,11/09/2017,,11/09/2017,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78826160313802, -122.45839792897874)",1.48657E+11
M854747,8,otc alterations permit,11/13/2017,249,23,1571,,Sacramento,St,,,street space permit,issued,11/13/2017,11/13/2017,11/13/2017,,11/13/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.79160220196534, -122.41866491945744)",1.48685E+12
M854907,8,otc alterations permit,11/13/2017,3590,13,3320,,19th,St,,,street space,issued,11/13/2017,11/13/2017,11/13/2017,,11/13/2017,,,,,,,,1,,,,,,,,,,,,9,Mission,94110,"(37.760524816501416, -122.41758272141853)",1.48689E+12
M855127,8,otc alterations permit,11/13/2017,1252,42,718,,Cole,St,,,street space permit,issued,11/13/2017,11/13/2017,11/13/2017,,11/13/2017,,,,,,,,1,,,,,,,,,,,,5,Haight Ashbury,94117,"(37.76807732513583, -122.45007833970155)",1.48693E+11
2.01711E+11,3,additions alterations or repairs,11/15/2017,6969,1,5050,,Mission,St,,,fire alarm system for appln #201006104250,filed,11/15/2017,11/15/2017,,,,,,,,,,,,,,,,2,,,,,,,11,Outer Mission,94112,"(37.71772263199437, -122.44060092814006)",1.48723E+12
M857329,8,otc alterations permit,11/17/2017,4024,3,624,,Hampshire,St,,,street space,issued,11/17/2017,11/17/2017,11/17/2017,,11/17/2017,,,,,,,,1,,,,,,,,,,,,10,Mission,94110,"(37.761456067566776, -122.40846096212044)",1.48761E+12
M857707,8,otc alterations permit,11/20/2017,5666,10,156,,Wool,St,,,streetspace,issued,11/20/2017,11/20/2017,11/20/2017,,11/20/2017,,,,,,,,0,,,,,,,,,,,,9,Bernal Heights,94110,"(37.73977153028013, -122.41727389222731)",1.48776E+12
M858789,8,otc alterations permit,11/27/2017,912,002A,1856,,Jefferson,St,,,street space prmit,issued,11/27/2017,11/27/2017,11/27/2017,,11/27/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.80500098348984, -122.44312789248019)",1.48828E+12
2.01711E+11,8,otc alterations permit,11/27/2017,1744,39,1241,,06th,Av,,,install 6 vinyl windows size for size on back wall,issued,11/27/2017,11/27/2017,11/27/2017,,11/27/2017,,2,2,,,05/27/2018,6000,6000,apartments,3,apartments,3,0,,5,wood frame (5),5,wood frame (5),,5,Inner Sunset,94122,"(37.76535779270799, -122.46346983597869)",1.48841E+12
M859867,8,otc alterations permit,11/28/2017,2417,7,2563,,16th,Av,,,street space,issued,11/28/2017,11/28/2017,11/28/2017,,11/28/2017,,,,,,,,1,,,,,,,,,,,,7,West of Twin Peaks,94116,"(37.74014357143049, -122.47259785447889)",1.48858E+12
M860867,8,otc alterations permit,11/30/2017,187,1,1455,,Leavenworth,St,0,,street space,issued,11/30/2017,11/30/2017,11/30/2017,,11/30/2017,,,,,,,,1,,,,,,,,,,,,3,Russian Hill,94109,"(37.794608915442694, -122.41666671768017)",1.48883E+12
M861547,8,otc alterations permit,12/01/2017,327,18,165,,Ofarrell,St,,,street space permit - renewal of permit # m783367,issued,12/01/2017,12/01/2017,12/01/2017,,12/01/2017,,,,,,,,1,,,,,,,,,,,,3,Financial District/South Beach,94102,"(37.78622455286341, -122.40734672057884)",1.489E+11
M863107,8,otc alterations permit,12/05/2017,1676,001H,835,,33rd,Av,,,street space,issued,12/05/2017,12/05/2017,12/05/2017,,12/05/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.7731864648277, -122.4931642429677)",1.48944E+12
M863627,8,otc alterations permit,12/06/2017,473,7,1304,,Francisco,St,,,street space,issued,12/06/2017,12/06/2017,12/06/2017,,12/06/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.803097650767135, -122.4268812097281)",1.48959E+11
M863967,8,otc alterations permit,12/07/2017,3728,8,1202,,Howard,St,,,street space,issued,12/07/2017,12/07/2017,12/07/2017,,12/07/2017,,,,,,,,1,,,,,,,,,,,,6,South of Market,94103,"(37.776258877899394, -122.4119816702891)",1.48969E+12