theta,z,r,x,y
-12.566370614359172,-2.0,5.0,2.4492935982947065e-15,5.0
-12.312504541341815,-1.9595959595959596,4.840016324864809,1.2155603579133674,4.684887516390055
-12.058638468324459,-1.9191919191919191,4.683297622691562,2.277004018339723,4.092496710221425
-11.8047723953071,-1.878787878787879,4.529843893480257,3.125950196181141,3.2784022130140564
-11.550906322289745,-1.8383838383838385,4.379655137230895,3.721504344514122,2.3090657276992963
-11.297040249272387,-1.797979797979798,4.232731353943475,4.041844657311235,1.256784182276649
-11.04317417625503,-1.7575757575757576,4.089072543617998,4.0844410113700045,0.19456590556760672
-10.789308103237673,-1.7171717171717171,3.9486787062544635,3.864976376998076,-0.8087157290879483
-10.535442030220317,-1.6767676767676767,3.8115498418528717,3.415124928701299,-1.692582027049679
-10.281575957202959,-1.6363636363636362,3.6776859504132227,2.779409591633427,-2.408372120707869
-10.027709884185603,-1.595959595959596,3.5470870319355168,2.0114106894387542,-2.9216525204987382
-9.773843811168245,-1.5555555555555556,3.419753086419753,1.1696244407556795,-3.213516740218478
-9.519977738150889,-1.5151515151515151,3.295684113865932,0.3132746918445475,-3.280761001023692
-9.266111665133531,-1.4747474747474747,3.1748801142740537,-0.5016354901033312,-3.1350000917195553
-9.012245592116173,-1.4343434343434343,3.057341087644118,-1.2257813991897992,-2.800856027645337
-8.758379519098817,-1.393939393939394,2.943067033976125,-1.819283334101966,-2.313406950092409
-8.50451344608146,-1.3535353535353534,2.8320579532700743,-2.253643649384175,-1.715121731035631
-8.250647373064103,-1.3131313131313131,2.724313845525967,-2.5127825739094414,-1.0525253750772592
-7.996781300046746,-1.2727272727272727,2.6198347107438016,-2.593168570878146,-0.3728413531622419
-7.742915227029389,-1.2323232323232323,2.518620548923579,-2.5031019789027704,0.27915936787638657
-7.489049154012032,-1.1919191919191918,2.420671360065299,-2.2612649714100246,0.8639042554093627
-7.235183080994675,-1.1515151515151514,2.325987144168962,-1.8946931924182733,1.3492049145489857
-6.981317007977318,-1.1111111111111112,2.234567901234568,-1.4363525599168347,1.7117783235127784
-6.727450934959961,-1.0707070707070705,2.1464136312621154,-0.9225176579553003,1.9380538298067183
-6.473584861942603,-1.0303030303030303,2.061524334251607,-0.39014604553638094,2.02426990390705
-6.219718788925246,-0.9898989898989898,1.9799000102030404,0.12557301917515068,1.9759138309291822
-5.965852715907889,-0.9494949494949494,1.9015406591164163,0.5933442839998692,1.8065988594365872
-5.711986642890532,-0.909090909090909,1.8264462809917352,0.987451410394109,1.5365043864106687
-5.458120569873175,-0.8686868686868685,1.7546168758289968,1.2889270088545666,1.1905240639269454
-5.204254496855818,-0.8282828282828283,1.6860524436282012,1.4861765973850931,0.7962737996753977
-4.9503884238384614,-0.7878787878787878,1.620752984389348,1.5750664996244732,0.38210699832335904
-4.6965223508211045,-0.7474747474747474,1.5587184981124373,1.558522298589306,-0.024730571319698948
-4.4426562778037475,-0.707070707070707,1.4999489847974694,1.4457140672369864,-0.39969712631947873
-4.18879020478639,-0.6666666666666665,1.4444444444444442,1.250925583244188,-0.7222222222222239
-3.9349241317690336,-0.6262626262626261,1.3922048770533617,0.9922163012411569,-0.9765967597952002
-3.6810580587516757,-0.5858585858585856,1.3432302826242217,0.6899870278608182,-1.1524693026465134
-3.4271919857343196,-0.5454545454545454,1.2975206611570247,0.3655538134223506,-1.2449619574998023
-3.1733259127169617,-0.505050505050505,1.2550760126517702,0.03982096826443386,-1.2544441350735192
-2.9194598396996057,-0.46464646464646453,1.2158963371084581,-0.26787476984156783,-1.1860215049804503
-2.665593766682248,-0.4242424242424241,1.1799816345270888,-0.5406988800915734,-1.0488095055294544
-2.4117276936648917,-0.38383838383838365,1.1473319049076625,-0.765005347495735,-0.8550656807064444
-2.157861620647534,-0.3434343434343432,1.1179471482501784,-0.9307690947080088,-0.6192533557576738
-1.9039955476301778,-0.303030303030303,1.0918273645546372,-1.031777753399211,-0.35710175241911324
-1.65012947461282,-0.26262626262626254,1.0689725538210386,-1.0656103956380472,-0.08471602877140744
-1.3962634015954638,-0.2222222222222221,1.0493827160493827,-1.0334402346424407,0.18222339631714896
-1.142397328578106,-0.18181818181818166,1.0330578512396693,-0.9397024745397914,0.42914774070442874
-0.8885312555607499,-0.14141414141414121,1.0199979593918986,-0.7916678097668292,0.6431624337153321
-0.634665182543392,-0.10101010101010077,1.0102030405060707,-0.5989573926711549,0.8134864625869823
-0.38079910952603413,-0.06060606060606055,1.0036730945821855,-0.3730276070126139,0.9317779162411092
-0.12693303650867804,-0.02020202020202011,1.0004081216202427,-0.1266441186910118,0.9923596510362154
0.12693303650867982,0.020202020202020332,1.0004081216202427,0.12664411869101358,0.9923596510362152
0.3807991095260359,0.060606060606060996,1.0036730945821855,0.37302760701261556,0.9317779162411085
0.6346651825433938,0.10101010101010122,1.010203040506071,0.5989573926711566,0.8134864625869814
0.8885312555607499,0.14141414141414144,1.0199979593918989,0.7916678097668294,0.6431624337153322
1.1423973285781077,0.1818181818181821,1.0330578512396695,0.9397024745397924,0.4291477407044271
1.3962634015954638,0.22222222222222232,1.0493827160493827,1.0334402346424407,0.18222339631714896
1.6501294746128217,0.262626262626263,1.0689725538210388,1.0656103956380472,-0.08471602877140934
1.9039955476301778,0.3030303030303032,1.0918273645546375,1.0317777533992112,-0.35710175241911335
2.1578616206475356,0.3434343434343434,1.1179471482501786,0.9307690947080078,-0.6192533557576755
2.4117276936648917,0.3838383838383841,1.1473319049076627,0.7650053474957352,-0.8550656807064445
2.6655937666822496,0.4242424242424243,1.179981634527089,0.5406988800915716,-1.0488095055294555
2.9194598396996057,0.464646464646465,1.2158963371084586,0.26787476984156794,-1.1860215049804508
3.1733259127169635,0.5050505050505052,1.2550760126517704,-0.03982096826443609,-1.2544441350735192
3.4271919857343196,0.5454545454545459,1.2975206611570251,-0.3655538134223507,-1.2449619574998028
3.6810580587516775,0.5858585858585861,1.3432302826242224,-0.6899870278608207,-1.1524693026465127
3.9349241317690336,0.6262626262626263,1.392204877053362,-0.992216301241157,-0.9765967597952003
4.188790204786393,0.666666666666667,1.4444444444444449,-1.250925583244191,-0.7222222222222197
4.442656277803749,0.7070707070707072,1.4999489847974699,-1.4457140672369875,-0.39969712631947624
4.696522350821105,0.7474747474747478,1.558718498112438,-1.5585222985893066,-0.024730571319697574
4.9503884238384614,0.7878787878787881,1.6207529843893482,-1.5750664996244734,0.3821069983233591
5.204254496855821,0.8282828282828287,1.6860524436282018,-1.4861765973850916,0.7962737996754019
5.458120569873177,0.868686868686869,1.7546168758289975,-1.2889270088545648,1.190524063926948
5.711986642890533,0.9090909090909092,1.8264462809917357,-0.9874514103941078,1.53650438641067
5.965852715907889,0.9494949494949498,1.9015406591164172,-0.5933442839998695,1.806598859436588
6.219718788925249,0.9898989898989901,1.9799000102030408,-0.12557301917514543,1.975913830929183
6.473584861942605,1.0303030303030307,2.061524334251608,0.3901460455363847,2.02426990390705
6.727450934959961,1.070707070707071,2.1464136312621167,0.9225176579553009,1.9380538298067194
6.981317007977317,1.1111111111111112,2.234567901234568,1.4363525599168332,1.7117783235127797
7.235183080994677,1.1515151515151518,2.325987144168963,1.8946931924182766,1.3492049145489828
7.489049154012033,1.191919191919192,2.4206713600653,2.261264971410026,0.863904255409361
7.742915227029389,1.2323232323232327,2.5186205489235802,2.5031019789027718,0.27915936787638673
7.996781300046749,1.272727272727273,2.6198347107438025,2.593168570878146,-0.3728413531622489
8.250647373064105,1.3131313131313136,2.724313845525968,2.5127825739094405,-1.052525375077264
8.50451344608146,1.3535353535353538,2.832057953270075,2.2536436493841756,-1.7151217310356315
8.758379519098817,1.393939393939394,2.943067033976125,1.819283334101966,-2.313406950092409
9.012245592116177,1.4343434343434347,3.057341087644119,1.2257813991897897,-2.8008560276453425
9.266111665133533,1.474747474747475,3.174880114274054,0.5016354901033258,-3.1350000917195566
9.519977738150889,1.5151515151515156,3.295684113865933,-0.3132746918445476,-3.280761001023693
9.773843811168245,1.5555555555555558,3.419753086419754,-1.1696244407556797,-3.2135167402184788
10.027709884185604,1.5959595959595965,3.5470870319355186,-2.01141068943876,-2.921652520498736
10.28157595720296,1.6363636363636367,3.677685950413224,-2.779409591633432,-2.408372120707865
10.535442030220317,1.676767676767677,3.8115498418528726,-3.4151249287012995,-1.6925820270496794
10.789308103237673,1.7171717171717176,3.9486787062544653,-3.8649763769980776,-0.8087157290879486
11.043174176255032,1.7575757575757578,4.089072543617998,-4.084441011370004,0.194565905567614
11.297040249272388,1.7979797979797985,4.2327313539434765,-4.041844657311234,1.2567841822766568
11.550906322289745,1.8383838383838387,4.3796551372308965,-3.7215043445141234,2.309065727699297
11.804772395307104,1.878787878787879,4.529843893480257,-3.1259501961811296,3.2784022130140675
12.05863846832446,1.9191919191919196,4.683297622691564,-2.2770040183397167,4.092496710221432
12.312504541341816,1.9595959595959598,4.840016324864811,-1.2155603579133596,4.684887516390059
12.566370614359172,2.0,5.0,-2.4492935982947065e-15,5.0
